src_id,abbrev,commissie,opmerking
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-ocw,OCW,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-szw,SZW,Vaste commissie voor Sociale Zaken en Werkgelegenheid,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-vws,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2019-de-staat-van-de-rijksverantwoording-2019,RIJKS,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2020:06:10:beantwoording-vragen-tweede-kamer-over-deresultaten-verantwoordingsonderzoek-2019-bij-het-ministerie-van-lnv,LNV,"Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit",
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-de-staat-van-de-rijksverantwoording,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-bzkk,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-ezk,EZK,Vaste commissie voor Economische Zaken en Klimaat,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-ienw,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-lnv,LNV,"Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit",
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-ocw,OCW,Vaste commissie voor Klimaat en Energie,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-szw,SZW,Vaste commissie voor Sociale Zaken en Werkgelegenheid,
rekenkamer__kamerstuk:2021:06:08:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2020-bij-het-ministerie-van-vws,VWS,"Vaste commissie voor Volksgezondheid, Welzijn en Sport",
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-bhos,BZ,Vaste commissie voor Buitenlandse Handel en Ontwikkelingssamenwerking,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-de-koning,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-buitenlandse-zaken,BZ,Vaste commissie voor Buitenlandse Zaken,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-bzk,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-financien-en-nationale-schuld,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-ienw,IenW,Vaste commissie voor Infrastructuur en Waterstaat,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-justitie-en-veiligheid,JenV,Vaste commissie voor Justitie en Veiligheid,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-szw,SZW,Vaste commissie voor Sociale Zaken en Werkgelegenheid,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2021-koninkrijksrelaties-en-bes-fonds,BZK,Vaste commissie voor Koninkrijksrelaties,
rekenkamer__kamerstuk:2022:06:07:beantwoording-vragen-tweede-kamer-over-deresultaten-verantwoordingsonderzoek-2021-bij-het-ministerie-van-lnv,LNV,"Vaste commissie voor Landbouw, Natuur en Voedselkwaliteit",
